"","ind","tagstart_str","Fin.width","flukefs_m","flukefs_l","flukefs_u","pitch_filter","Calf","Size","Size2"
"2","gm08_150c","29-May-2008 16:45:31",58.9202561257025,0.581317204301075,0.399865591397849,0.787410394265233,0.276775527666857,1,"Small","Small"
"4","gm08_159a","07-Jun-2008 21:00:43",91.6873515174147,0.520833333333333,0.372983870967742,0.677643369175627,0.348973188819167,0,"Large","Large"
"6","gm09_137b","17-May-2009 15:09:21",74.473915753734,0.552195340501792,0.422267025089606,0.693324372759856,0.305654592127781,1,"Medium","Medium"
"7","gm09_137c","17-May-2009 15:52:05",56.526312287525,0.6709229390681,0.467069892473118,0.856854838709677,0.329720479178551,0,"Small","Small"
"8","gm09_138a","18-May-2009 12:17:57",NA,0.588037634408602,0.478270609318996,0.697804659498208,0.363412721049629,0,"Medium","Medium"
"9","gm09_138b","18-May-2009 13:19:18",52.1262224766628,0.749327956989247,0.516353046594982,0.939740143369175,0.373039075869937,1,"Very Small","Small"
"10","gm09_156b","05-Jun-2009 19:12:24",103.536502072209,0.484991039426523,0.321460573476702,0.623879928315412,0.310467769537935,0,"Large","Large"
"11","gm10_143a","23-May-2010 13:26:56",93.4826508207827,0.590277777777778,0.395385304659498,0.791890681003584,0.296028237307473,1,"Medium","Medium"
"13","gm10_152b","01-Jun-2010 21:09:02",62.1279560908038,0.724686379928315,0.453629032258065,0.935259856630824,0.363412721049629,0,"Small","Small"
"16","gm10_157b","06-Jun-2010 05:49:05",88.1025532581136,0.704525089605735,0.480510752688172,0.919578853046595,0.358599543639475,1,"Medium-Large","Medium"
"19","gm10_158d","07-Jun-2010 17:55:48",83.5371243135666,0.489471326164875,0.3125,0.796370967741935,0.252709640616087,0,"Medium-Large","Medium"
"20","gm13_137a","17-May-2013 16:20:05",55.5133314147962,0.588037634408602,0.446908602150538,0.762768817204301,0.324907301768397,0,"Very Small","Small"
"21","gm13_149a","29-May-2013 11:38:55",NA,0.549955197132616,0.350582437275986,0.704525089605735,0.296028237307473,0,"Large","Large"
"22","gm13_169a","18-Jun-2013 10:01:42",96.3362273460027,0.509632616487455,0.350582437275986,0.653001792114695,0.257522818026241,1,"Large","Large"
"23","gm13_169b","18-Jun-2013 11:04:36",NA,0.749327956989247,0.529793906810036,0.910618279569892,0.353786366229321,0,"Medium","Medium"
"24","gm14_180a","29-Jun-2014 12:27:54",130.389763467994,0.449148745519713,0.290098566308244,0.626120071684588,0.228643753565317,0,"Large","Large"
"25","gm14_180b","29-Jun-2014 13:01:44",68.932287465271,0.50739247311828,0.308019713261649,0.68660394265233,0.238270108385625,0,"Medium-Large","Medium"
